concept_id,slide_number,scene_description,english_narration,toto_narration,notes,file_name_eng,file_name_toto,audio_english_url,audio_toto_url,image_url
770e8400-e29b-41d4-a716-446655440001,1,Sun shining over a pond,"When the sun shines, the water in ponds and rivers becomes warm.",,"Calm tone, explanatory",concept_001_slide_001_eng.mp3,concept_001_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_001_slide_001_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_001_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_001_slide_001.png
770e8400-e29b-41d4-a716-446655440001,2,Steam rising from the water,"This warm water slowly changes into vapor and rises into the air.",,"Emphasize ""vapor"" clearly",concept_001_slide_002_eng.mp3,concept_001_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_001_slide_002_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_001_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_001_slide_002.png
770e8400-e29b-41d4-a716-446655440001,3,Clouds forming in the sky,"The vapor forms clouds in the sky. This process is called evaporation.",,"End slightly upbeat, educational finish",concept_001_slide_003_eng.mp3,concept_001_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_001_slide_003_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_001_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_001_slide_003.png
770e8400-e29b-41d4-a716-446655440002,1,Seed planted in soil,"A tiny seed is planted in the soil. It gets water and sunlight.",,"Calm, nurturing tone",concept_002_slide_001_eng.mp3,concept_002_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_002_slide_001_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_002_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_002_slide_001.png
770e8400-e29b-41d4-a716-446655440002,2,Sprout growing up,"Slowly, the seed grows roots and a small green sprout comes out.",,"Speak softly with wonder",concept_002_slide_002_eng.mp3,concept_002_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_002_slide_002_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_002_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_002_slide_002.png
770e8400-e29b-41d4-a716-446655440002,3,Plant with leaves,"With time and care, the sprout becomes a big plant with leaves and flowers.",,"End happily, like a story finish",concept_002_slide_003_eng.mp3,concept_002_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_002_slide_003_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_002_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_002_slide_003.png
770e8400-e29b-41d4-a716-446655440003,1,Farmer in a field,"Farmers grow crops like rice, wheat, and vegetables in their fields.",,"Neutral, informative",concept_003_slide_001_eng.mp3,concept_003_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_003_slide_001_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_003_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_003_slide_001.png
770e8400-e29b-41d4-a716-446655440003,2,Animals grazing,"Animals give us food too, cows give milk, hens give eggs, and fish live in rivers.",,"Slightly lively tone",concept_003_slide_002_eng.mp3,concept_003_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_003_slide_002_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_003_slide_002_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_003_slide_002.png
770e8400-e29b-41d4-a716-446655440003,3,Family eating together,"All this food helps us grow strong and healthy. We should never waste it.",,"Soft tone, moral closing",concept_003_slide_003_eng.mp3,concept_003_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_003_slide_003_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_003_slide_003_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_003_slide_003.png
770e8400-e29b-41d4-a716-446655440004,1,Sun and rain clouds,"Sometimes the sun shines bright, and sometimes clouds bring rain.",,"Joyful, expressive",concept_004_slide_001_eng.mp3,concept_004_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_004_slide_001_eng.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/audio/concepts/concept_004_slide_001_toto.mp3,https://{SUPABASE_PROJECT_REF}.supabase.co/storage/v1/object/public/images/concepts/concept_004_slide_001.png
